Parasite.species,parasite_genus,parasite_family,parasite_order,parasite_class,parasite_phylum,Host.no,Host_no_fac,Stage,assumed_stage,Def.int,Facultative,num_hosts,host_phylum,host_class,host_bm,host_tl,endo_ecto,prop_endo,vert_invert,habitat,prop_terr,Site,body_cavity,gi_tract,gi_wall,pulmonary,biliary,urinary,enclosed,lcl_max,lcl_max_fac,initial_biov,initial_length,initial_width,biovolume,avg_length,avg_width,avg_dt,avg_dd,rel_growth,biov_paratenic,avg_dt_paratenic,avg_dd_paratenic,rel_growth_paratenic,tree_tips
Acanthocephalus lucii,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,7,Chordata,Actinopterygii,2.800878354,3.431496901,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,0.618248594,5.188558713,0.422438514,14.13716694,13.29666667,1.2,58.5,614.25,1.359199249,14.13716694,58.5,614.25,1.359199249,Acanthocephalus_lucii
Acanthocephalus ranae,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Malacostraca,-2.61851555,2,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,9.07E-06,0.1025,0.013,1.067694297,3.5365,0.62,48,816,5.07083773,1.067694297,48,816,5.07083773,Acanthocephalus_ranae
Acanthocephalus ranae,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,10,Chordata,Amphibia,1.287952227,3.107142857,ecto,0,vert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,1.067694297,3.5365,0.62,14.62986137,23.07145299,1.121538462,NA,NA,1.136793288,14.62986137,NA,NA,1.136793288,Acanthocephalus_ranae
Acanthocephalus rhinensis,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Malacostraca,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,1.36E-05,0.09,0.017,1.118406985,2.75,0.7,NA,NA,4.914460896,1.118406985,NA,NA,4.914460896,Acanthocephalus_rhinensis
Acanthocephalus rhinensis,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,1,Chordata,Actinopterygii,2.653664234,3.127356902,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,1.118406985,2.75,0.7,9.544632862,9.915,1.03,NA,NA,0.931159357,9.544632862,NA,NA,0.931159357,Acanthocephalus_rhinensis
Acanthocephalus sp.,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Malacostraca,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,1.53E-05,0.09,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocephalus_sp.
Acanthocephalus sp.,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,4,Chordata,Actinopterygii,2.312719349,3.564114921,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,NA,NA,NA,4.834911094,7.6,0.9,NA,NA,NA,4.834911094,NA,NA,NA,Acanthocephalus_sp.
Acanthocephalus tumescens,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,1,1,1larv,no,int,no,1,Arthropoda,Malacostraca,NA,NA,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,1.70E-05,0.09,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocephalus_tumescens
Acanthocephalus tumescens,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,no,5,Chordata,Actinopterygii,2.106845795,3.384444444,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,NA,NA,NA,1.844463408,4.148333333,0.775,NA,NA,NA,1.844463408,NA,NA,NA,Acanthocephalus_tumescens
Acanthocephalus tumescens,Acanthocephalus,Echinorhynchidae,Echinorhynchida,Palaeacanthocephala,Acanthocephala,2,2,adult,no,def,postcyclic,5,Chordata,Actinopterygii,3.09775348,3.533049206,ecto,0,invert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,1.844463408,4.148333333,0.775,1.844463408,4.148333333,0.775,NA,NA,0,1.844463408,NA,NA,0,Acanthocephalus_tumescens
Acanthocirrus retrirostris,Acanthocirrus,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes,1,1,1larv,no,int,no,1,Arthropoda,Hexanauplia,-2.498483704,2.268939394,ecto,0,invert,aquatic,0,body cavity,yes,no,no,no,no,no,no,2,2,NA,NA,NA,0.039374628,0.47,0.4,NA,NA,NA,0.039374628,NA,NA,NA,Acanthocirrus_retrirostris
Acanthocirrus retrirostris,Acanthocirrus,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes,2,2,adult,no,def,no,3,Chordata,Aves,1.95107933,3.077745098,endo,1,vert,aquatic,0,gut,no,yes,no,no,no,no,no,2,2,0.039374628,0.47,0.4,14,20,0.7,NA,NA,2.550911573,14,NA,NA,2.550911573,Acanthocirrus_retrirostris
