"Scientific","tl"
"Acrossocheilus aluoiensis",2.85
"Acrossocheilus baolacensis",2.85
"Acrossocheilus beijiangensis",2.87
"Acrossocheilus clivosius",2.85
"Acrossocheilus fasciatus",2.84
"Acrossocheilus hemispinus",2.85
"Acrossocheilus ikedai",2.88
"Acrossocheilus iridescens",2.82
"Acrossocheilus jishouensis",2.85
"Acrossocheilus kreyenbergii",2.86
"Acrossocheilus lamus",2.85
"Acrossocheilus longipinnis",2.85
"Acrossocheilus macrophthalmus",2.85
"Acrossocheilus malacopterus",2.86
"Acrossocheilus microstoma",2.85
"Acrossocheilus monticola",2.86
"Acrossocheilus multistriatus",2.88
"Acrossocheilus paradoxus",2.85
"Acrossocheilus parallens",2.85
"Acrossocheilus rendahli",2.85
"Acrossocheilus spinifer",2.86
"Acrossocheilus wenchowensis",2.86
"Acrossocheilus wuyiensis",2.87
"Acrossocheilus xamensis",2.83
"Acrossocheilus yalyensis",2.85
"Acrossocheilus yunnanensis",2.82
"Acroteriobatus annulatus",3.35
"Acroteriobatus blochii",3.47
"Acroteriobatus leucospilus",3.65
"Acroteriobatus ocellatus",3.45
"Acroteriobatus omanensis",3.41
"Acroteriobatus salalah",3.44
"Acroteriobatus variegatus",3.44
"Acroteriobatus zanzibarensis",3.44
"Acrotona sylvicola",3.7328125
"Acrotrichis sp.",3
"Actaeodes hirsutissimus",3.73
"Actenodes auronotata",2
"Actenoides bougainvillei",3.5
"Actenoides concretus",3.4
"Actenoides hombroni",3.3
"Actenoides lindsayi",3.1
"Actenoides monachus",3
"Actenoides princeps",3
"Acteocina inculta",2
"Acteon punctostriatus",2.95
"Actinia equina",2.67370324760954
"Actinia fragacea",2.6023015933342
"Actinopteryx fucicola",3
"Actinopyga miliaris",2
"Actinopyga obesa",2
"Actinothoe sp.",3
"Actinothoe sphyrodeta",3
"Actitis hypoleucos",3.52
"Actitis macularia",3.13333333333333
"Actitis macularius",3.69
"Actophilornis africanus",2.8
"Actophilornis albinucha",2.6
"Aculeola nigra",3.87
"Acupalpus flavicollis",2
"Acyrtops amplicirrus",3.03
"Acyrtops beryllinus",3.33
"Acyrtus artius",3.13
"Acyrtus lanthanum",3.08
"Acyrtus pauciradiatus",3
"Acyrtus rubiginosus",3.26
"Adalaria proximata",3
"Addax nasomaculatus",2
"Adelastes hylonomos",3
"Adelomelon ancilla",3.6
"Adelophryne adiastola",3
"Adelosebastes latens",3.47
"Adelotremus deloachi",3.2
"Adelotremus leptus",3.2
"Adelphobates castaneoticus",3
"Adelphobates galactonotus",3
"Adelphobates quinquevittatus",3
"Adolfus africanus",3
"Adolfus alleni",3
"Adolfus jacksoni",3
"Adolfus masavaensis",3
"Adontosternarchus balaenops",3.29
"Adontosternarchus clarkae",3.26
"Adontosternarchus devenanzii",3.26
"Adontosternarchus duartei",3.26
"Adontosternarchus nebulosus",3.28
"Adontosternarchus sachsi",3.32
"Adoristes ovatus",2
"Adrastus sp. (juv)",2
"Adrianichthys kruyti",3.92
"Adrianichthys oophorus",3.64
"Adrianichthys poptae",4.04
"Adrianichthys roseni",3.76
"Adventor elongatus",3.28
"Aechmophorus clarkii",3.5
"Aechmophorus occidentalis",3.50555555555556
"Aedes taeniorhynchus",2
"Aega antarctica",2
"Aegires albopunctatus",3
"Aegires albus",3
"Aegithina lafresnayei",3
"Aegithina nigrolutea",3
"Aegithina tiphia",3
"Aegithina viridissima",3
"Aegopinella nitens",2.05
"Aegopinella nitens (juv)",2.08333333333333
"Aegopinella nitidula",2.38888888888889
"Aegopinella nitidula (juv)",2.34259259259259
"Aegopinella pura",2.23333333333333
"Aegopinella pura (juv)",2.5
"Aegotheles archboldi",3
"Aegypius monachus",2
"Aeluroscalabotes felinus",3
"Aeneator fontainei",3.1
"Aeolidia papillosa",3.7
"Aeolidiella alba",4.368
"Aeolidiidae",4
"Aeoliscus punctulatus",3.1
"Aeoliscus strigatus",3.46
"Aepeomys lugens",2.2
"Aepeomys reigi",2.2
"Aepyceros melampus",2
"Aepypodius arfakianus",2.1
"Aepypodius bruijnii",2.3
"Aepyprymnus rufescens",2
"Aequidens chimantanus",3.18
"Aequidens diadema",3.19
"Aequidens epae",3.19
"Aequidens gerciliae",3.07
"Aequidens mauesanus",3.2
"Aequidens metae",3.19
"Aequidens michaeli",3.22
"Aequidens pallidus",3.21
"Aequidens paloemeuensis",3.17
"Aequidens patricki",3.73
"Aequidens plagiozonatus",3.18
"Aequidens potaroensis",3.17
"Aequidens rondoni",3.17
"Aequidens tetramerus",3.24
"Aequidens tubicen",3.17
"Aequidens viridis",3.22
"Aequipecten irradians",2.14285714285714
"Aequipecten opercularis",2
"Aequorea victoria",3.83
"Aeretes melanopterus",2.1
"Aeromys tephromelas",2.1
"Aeromys thomasi",2.1
"Aeshna juncea",3.45161290322581
"Aeshna sp",2.11111111111111
"Aeshnidae",2.27272727272727
"Aesopia cornuta",3.52
"Aetapcus maculatus",3.53
"Aetea anguina",2
"Aethaloperca rogaa",4.2
"Aethalops aequalis",2
"Aethalops alecto",2
"Aetheliparis taurocanis",3.14
"Aethia cristatella",3.57
"Aethia psittacula",4.04
"Aethia pusilla",3.97
"Aethia pygmaea",3.43
"Aethomys bocagei",2
"Aethomys chrysophilus",2
"Aethomys hindei",2
"Aethomys ineptus",2
"Aethomys kaiseri",2
"Aethomys nyikae",2
"Aethomys silindensis",2
"Aethomys stannarius",2
"Aethomys thomasi",2
"Aethopyga bella",2.5
"Aethopyga christinae",2.2
"Aethopyga eximia",2.5
"Aethopyga ignicauda",2.5
"Aethopyga linaraborae",2.2
"Aethopyga mystacalis",2.5
"Aethopyga nipalensis",2.5
"Aethopyga saturata",2.4
"Aethopyga siparaja",2.5
"Aethotaxis mitopteryx",3.14285714285714
"Aethotaxis mitopteryx mitopteryx",3.4
"Aethotaxis mitopteryx pawsoni",3.32
"Aetobatus flagellum",3.62
"Aetobatus narinari",3.92144859813084
"Aetobatus narutobiei",3.62
