"Scientific","tl"
"Lathonura rectirostris",2.16666666666667
"Lathrididae sp.",3
"Lathrobium brunnipes",3.33037062952597
"Lathrobium fovalum",2.60344827586207
"Lathrobium sp. (juv)",3.73529411764706
"Lathrotriccus euleri",3
"Latiblattella",2
"Laticauda colubrina",4.5
"Laticauda laticaudata",4.5
"Laticauda saintgironsi",4.5
"Latidens salimalii",2
"Latimeria chalumnae",4.40000009536743
"Latimeria menadoensis",4.5
"Latona setifera",2.16666666666667
"Latoucheornis siemsseni",2.4
"Latridopsis ciliaris",3.25
"Latridopsis forsteri",3.63
"Latris lineata",3.74
"Latris pacifica",3.67
"Latropiscis purpurissatus",4.01
"Latrunculia apicalis",2
"Latrunculia brevis",2
"Laubuka brahmaputraensis",3.08
"Laubuka caeruleostigmata",3.2
"Laubuka dadiburjori",3.14
"Laubuka fasciata",3.13
"Laubuka insularis",3.15
"Laubuka lankensis",3.14
"Laubuka latens",3.09
"Laubuka laubuca",3.15
"Laubuka parafasciata",3.14
"Laubuka ruhuna",3.16
"Laubuka siamensis",3.14
"Laubuka tenella",3.12
"Laubuka trevori",3.07
"Laubuka varuna",3.14
"Laudakia agrorensis",2.7
"Laudakia melanura",2
"Laudakia nupta",2
"Laudakia pakistanica",2.7
"Laudakia papenfussi",2.7
"Laudakia tuberculata",2.7
"Laudakia wui",2.7
"Lauridromia dehaani",4.1
"Lauridromia indica",4.1
"Laver spire shell",2
"Lavia frons",3
"Lavinia exilicauda",2.97
"Least Sandpiper",3.06601731601732
"Least Tern",3.57142857142857
"Lebbeus polaris",2.62833333333333
"Lebetus guilleti",3.09
"Lebetus scorpioides",3.24
"Lebiasina ardilai",3.6
"Lebiasina bimaculata",3.67
"Lebiasina chocoensis",3.65
"Lebiasina chucuriensis",3.59
"Lebiasina colombia",3.62
"Lebiasina floridablancaensis",3.55
"Lebiasina intermedia",3.49
"Lebiasina marilynae",3.5
"Lebiasina melanoguttata",3.42
"Lebiasina minuta",3.42
"Lebiasina multimaculata",3.65
"Lebiasina narinensis",3.57
"Lebiasina ortegai",3.49
"Lebiasina provenzanoi",3.54
"Lebiasina taphorni",3.57
"Lebiasina uruyensis",3.64
"Lebiasina yepezi",3.66
"Lebiasina yuruaniensis",3.47
"Lecane mira",2
"Lecane sp.",2
"Lecanogaster chrysea",3.05
"Lecanogaster gorgoniphila",3.11
"Lefua costata",2.75
"Lefua echigonia",2.76
"Lefua nikkonis",2.78
"Lefua pleskei",2.76
"Leggadina forresti",2
"Leggadina lakedownensis",2
"Lehmannia marginata",2.78888888888889
"Leiarius arekaima",4.21
"Leiarius longibarbis",4.21
"Leiarius marmoratus",4.5
"Leiarius pictus",4.12
"Leiaster leachi",3.5
"Leimacomys buttneri",2.2
"Leiobunum blackwalli",3
"Leiobunum rotundum",3.14285714285714
"Leiocassis aculeatus",3.35
"Leiocassis brevirostris",3.38
"Leiocassis collinus",3.42
"Leiocassis crassirostris",3.38
"Leiocassis doriae",3.38
"Leiocassis hosii",3.4
"Leiocassis longibarbus",3.38
"Leiocassis micropogon",3.42
"Leiocassis poecilopterus",3.41
"Leiocassis saravacensis",3.35
"Leiocassis tenebricus",3.3
"Leiocassis yeni",3.38
"Leiocephalus barahonensis",2.7
"Leiocephalus carinatus",2.7
"Leiocephalus cubensis",2.7
"Leiocephalus cuneus",2.7
"Leiocephalus greenwayi",3
"Leiocephalus inaguae",2.7
"Leiocephalus loxogrammus",2.7
"Leiocephalus macropus",2
"Leiocephalus personatus",3
"Leiocephalus psammodromus",2.7
"Leiocephalus punctatus",2.7
"Leiocephalus raviceps",2.7
"Leiocephalus schreibersii",3
"Leiocephalus semilineatus",3
"Leiocephalus sixtoi",3
"Leiocephalus stictigaster",2.7
"Leiocottus hirundo",3.48
"Leiodon cutcutia",3.31
"Leiognathus berbis",3.31
"Leiognathus brevirostris",2.96000003814697
"Leiognathus equulus",3.01
"Leiognathus longispinis",3.25
"Leiognathus oblongus",3.1
"Leiognathus parviceps",3.13
"Leiognathus robustus",3.15
"Leiognathus striatus",3.13
"Leiolepis belliana",2.7
"Leiolepis boehmei",2
"Leiolepis guentherpetersi",2
"Leiolepis guttata",2
"Leiolepis peguensis",2
"Leiolepis reevesii",2.7
"Leiolepis triploida",2
"Leiolopisma telfairii",2.7
"Leiopelma archeyi",3
"Leiopelma hamiltoni",3
"Leiopelma hochstetteri",3
"Leiopelma pakeka",3
"Leiopotherapon aheneus",3.9
"Leiopotherapon macrolepis",3.69
"Leiopotherapon plumbeus",3.27
"Leiopotherapon unicolor",4.1
"Leiosaurus bellii",3
"Leiosaurus catamarcensis",3
"Leiosaurus paronae",3
"Leioseius bicolor",3.63425925925926
"Leioseius elongatus",3.61111111111111
"Leiostomus xanthurus",3.10547619047619
"Leitneria granulata",3.66666666666667
"Leitneria granulata (juv)",3.66837606837607
"Leitoscoloplos mammosus",2
"Leitoscoloplos sp.",2.33333333333333
"Leiuranus semicinctus",3.06
"Leiuranus versicolor",3.86
"Lembos smithi",2.16666666666667
"Lembos websteri",2.71
"lemmings",2
"Lemmiscus curtatus",2
"Lemmus amurensis",2
"Lemmus lemmus",2
"Lemmus portenkoi",2
"Lemmus sibiricus",2
"Lemmus trimucronatus",2
"Lemniscomys barbarus",2.1
"Lemniscomys bellieri",2.1
"Lemniscomys griselda",2.1
"Lemniscomys hoogstraali",2.1
"Lemniscomys linulus",2.1
"Lemniscomys macculus",2.1
"Lemniscomys mittendorfi",2.1
"Lemniscomys rosalia",2.1
"Lemniscomys roseveari",2.1
"Lemniscomys striatus",2.1
"Lemniscomys zebra",2.1
"Lemur catta",2
"Lenomys meyeri",2.1
"Lenothrix canus",2.1
"Lenoxus apicalis",2.2
"Lenticulina antarctica",2
"Lentipes adelphizonus",2.63
"Lentipes andamanicus",2.54
"Lentipes argenteus",2.55
"Lentipes armatus",2.45
"Lentipes caroline",2.54
"Lentipes concolor",2.24
"Lentipes crittersius",2.66
"Lentipes dimetrodon",2.81
"Lentipes ikeae",2.56
"Lentipes kaaea",2.41
"Lentipes kolobangara",2.63
"Lentipes mekonggaensis",2.54
"Lentipes mindanaoensis",2.54
"Lentipes multiradiatus",2.56
"Lentipes rubrofasciatus",2.83
"Lentipes solomonensis",2.79
"Lentipes venustus",2.53
"Lentipes watsoni",2.28
"Lentipes whittenorum",2.54
"Leocottus kesslerii",3.22
"Leontopithecus caissara",2.5
"Leontopithecus chrysomelas",2.5
"Leontopithecus chrysopygus",2.5
"Leontopithecus rosalia",2.5
"Leopardus braccatus",3.5
"Leopardus colocolo",3.5
"Leopardus geoffroyi",3.55
"Leopardus guigna",3.5
"Leopardus jacobitus",3.5
"Leopardus pajeros",3.5
"Leopardus pardalis",3.55
"Leopardus tigrinus",3.5
"Leopardus wiedii",3.2
"Leopoldamys ciliatus",2.5
"Leopoldamys edwardsi",2.5
"Leopoldamys milleti",2.5
"Leopoldamys neilli",2.5
"Leopoldamys sabanus",2.5
"Leopoldamys siporanus",2.5
"Lepadella cristata",2
"Lepadella triptera",2
"Lepadichthys akiko",2.75
"Lepadichthys bolini",3.36
"Lepadichthys caritus",3.24
"Lepadichthys coccinotaenia",3.63
"Lepadichthys ctenion",3.49
"Lepadichthys erythraeus",3.48
"Lepadichthys frenatus",3.74
"Lepadichthys lineatus",3.40000009536743
"Lepadichthys minor",3.13
"Lepadichthys sandaracatus",3.4
"Lepadichthys springeri",3.27
"Lepadicyathus mendeleevi",2.98
"Lepadogaster candolii",2.85666666666667
"Lepadogaster lepadogaster",2.76872425629291
"Lepadogaster purpurea",3.32
"Lepadogaster zebrina",2.85714285714286
"Lepas anatifera",2.58
"Lepas anserifera",4.5
"Lepeta caeca",2
"Lepidactylus dytiscus",2.16666666666667
"Lepidamia kalosoma",3.6
"Lepidamia multitaeniata",3.68
"Lepidamia natalensis",3.7
"Lepidamia omanensis",3.64
"Lepidammodytes macrophthalmus",3.18
"Lepidarchus adonis",3.02
"Lepidiolamprologus attenuatus",4.05
"Lepidiolamprologus boulengeri",3.51
"Lepidiolamprologus cunningtoni",4.2
"Lepidiolamprologus elongatus",4.2
"Lepidiolamprologus hecqui",3.62
"Lepidiolamprologus kamambae",3.95
"Lepidiolamprologus kendalli",4.2
"Lepidiolamprologus meeli",3.56
"Lepidiolamprologus mimicus",4.02
"Lepidiolamprologus profundicola",4.2
"Lepidiolamprologus variostigma",3.67
"Lepidion capensis",3.47
"Lepidion ensiferus",3.44
"Lepidion eques",3.24
"Lepidion guentheri",3.57
"Lepidion inosimae",3.53
"Lepidion lepidion",3.59
"Lepidion microcephalus",3.46
"Lepidion natalensis",3.44
"Lepidion schmidti",3.58
"Lepidobatrachus laevis",3.25
"Lepidobero sinensis",3.4
"Lepidoblennius haplodactylus",3.32
"Lepidoblennius marmoratus",3.34
"Lepidoblepharis heyerorum",3
"Lepidoblepharis sanctaemartae",3
"Lepidoblepharis xanthostigma",3
"Lepidoblepharon ophthalmolepis",3.5
"Lepidocephalichthys alkaia",2.87
"Lepidocephalichthys annandalei",2.78
"Lepidocephalichthys arunachalensis",2.7
"Lepidocephalichthys barbatuloides",2.87
"Lepidocephalichthys berdmorei",2.75
"Lepidocephalichthys birmanicus",2.70000004768372
"Lepidocephalichthys coromandelensis",2.8
"Lepidocephalichthys eleios",2.95
"Lepidocephalichthys furcatus",2.82
"Lepidocephalichthys goalparensis",2.8
"Lepidocephalichthys guntea",2.68
"Lepidocephalichthys hasselti",2.74000000953674
"Lepidocephalichthys irrorata",2.55
"Lepidocephalichthys jonklaasi",2.83
"Lepidocephalichthys kranos",2.85
"Lepidocephalichthys lorentzi",2.89
"Lepidocephalichthys manipurensis",2.47
"Lepidocephalichthys micropogon",2.7
"Lepidocephalichthys thermalis",2.89
"Lepidocephalichthys tomaculum",2.7
"Lepidocephalichthys zeppelini",2.93
"Lepidocephalus macrochir",3.18
"Lepidocephalus nanensis",3.19
"Lepidocephalus spectrum",3.16
"Lepidocharax burnsi",2.99
"Lepidocharax diamantina",2.99
"Lepidochelys kempii",3.53
"Lepidochelys olivacea",3.38
"Lepidochitona cinerea",2
"Lepidocolaptes affinis",3
"Lepidocolaptes albolineatus",3
"Lepidocolaptes angustirostris",3
"Lepidocolaptes falcinellus",3
"Lepidocolaptes lacrymiger",3
"Lepidocolaptes leucogaster",3
"Lepidocolaptes souleyetii",3
"Lepidocolaptes squamatus",3
"Lepidocybium flavobrunneum",4.34
"Lepidocyrtus",2
"Lepidocyrtus curvicolis",2
"Lepidocyrtus cyaneus",2
"Lepidocyrtus lanuginosus",2
"Lepidocyrtus lignorum",2
"Lepidocyrtus sp. (juv)",2
"Lepidodactylus euaensis",3
"Lepidodactylus listeri",3
"Lepidodactylus lugubris",2.7
"Lepidodactylus pantai",3
"Lepidodactylus pumilus",2.7
"Lepidodactylus vanuatuensis",2.7
"Lepidodactylus woodfordi",3
"Lepidogalaxias salamandroides",3.06
"Lepidogobius lepidus",3.32
"Lepidomeda albivallis",2.98
"Lepidomeda aliciae",2.98
"Lepidomeda altivelis",2.99
"Lepidomeda copei",2.98
"Lepidomeda mollispinis",2.98
"Lepidomeda vittata",2.98
"Lepidonectes bimaculatus",2.68
"Lepidonectes clarkhubbsi",2.72
"Lepidonectes corallicola",2.64
"Lepidonotos squamatus",2
"Lepidonotothen squamifrons",3.49
"Lepidonotus squamatus",3.07357142857143
"Lepidonotus tenuisetosus",3.63
"Lepidoperca aurantia",3.61
"Lepidoperca brochata",3.54
"Lepidoperca caesiopercula",3.54
"Lepidoperca coatsii",3.54
"Lepidoperca filamenta",3.48
"Lepidoperca inornata",3.54
"Lepidoperca magna",3.54
"Lepidoperca occidentalis",3.44
"Lepidoperca pulchella",3.58
"Lepidoperca tasmanica",3.54
"Lepidophanes gaussi",3.09
"Lepidophanes guentheri",3
"Lepidophyma flavimaculatum",3
"Lepidophyma gaigeae",3
"Lepidophyma mayae",3
"Lepidophyma micropholis",3
"Lepidophyma occulor",3
"Lepidophyma pajapanensis",3
"Lepidophyma smithii",2
"Lepidophyma tarascae",2.7
"Lepidophyma tuxtlae",2.7
"Lepidopsetta bilineata",3.18
"Lepidopsetta mochigarei",3.22
"Lepidopsetta polyxystra",3.3
"Lepidopus altifrons",3.75
"Lepidopus calcar",3.78
"Lepidopus caudatus",3.82
"Lepidopus dubius",3.66
"Lepidopus fitchi",4.11
"Lepidopus manis",3.76
"Lepidopyga coeruleogularis",2.1
"Lepidopyga goudoti",2.1
"Lepidopyga lilliae",2.1
"Lepidopygopsis typus",2.71
"Lepidorhombus boscii",3.74
"Lepidorhombus whiffiagonis",4.34
"Lepidorhynchus denticulatus",3.81
"Lepidosiren paradoxa",3.11
"Lepidostoma hirtum",2
"Lepidothyris fernandi",3
"Lepidothyris hinkeli",3
"Lepidothyris striatus",3
"Lepidotrigla abyssalis",3.1
"Lepidotrigla alata",3.47
"Lepidotrigla alcocki",3.41
"Lepidotrigla annamarae",3.48
"Lepidotrigla argus",3.45
"Lepidotrigla argyrosoma",3.45
"Lepidotrigla bentuviai",3.37
"Lepidotrigla bispinosa",3.55
"Lepidotrigla brachyoptera",3.44
"Lepidotrigla cadmani",3.55
"Lepidotrigla calodactyla",3.45
"Lepidotrigla carolae",3.45
"Lepidotrigla cavillone",3.33
"Lepidotrigla deasoni",3.45
"Lepidotrigla dieuzeidei",3.66
"Lepidotrigla eydouxii",3.45
"Lepidotrigla faurei",3.45
"Lepidotrigla grandis",3.42
"Lepidotrigla guentheri",3.47
"Lepidotrigla hime",3.45
"Lepidotrigla japonica",3.47
"Lepidotrigla jimjoebob",3.4
"Lepidotrigla kanagashira",3.45
"Lepidotrigla kishinouyi",3.47
"Lepidotrigla larsoni",3.45
"Lepidotrigla lepidojugulata",3.45
"Lepidotrigla longifaciata",3.47
"Lepidotrigla longimana",3.45
"Lepidotrigla longipinnis",3.45
"Lepidotrigla macrobrachia",3.45
"Lepidotrigla marisinensis",3.45
"Lepidotrigla microptera",3.55
"Lepidotrigla modesta",3.53
"Lepidotrigla mulhalli",3.47
"Lepidotrigla multispinosa",3.42
"Lepidotrigla musorstom",3.42
"Lepidotrigla nana",3.37
"Lepidotrigla oglina",3.45
"Lepidotrigla omanensis",3.39
"Lepidotrigla papilio",3.51
"Lepidotrigla pectoralis",3.45
"Lepidotrigla pleuracanthica",3.47
"Lepidotrigla punctipectoralis",3.47
"Lepidotrigla robinsi",3.41
"Lepidotrigla russelli",3.45
"Lepidotrigla sayademalha",3.38
"Lepidotrigla sereti",3.4
"Lepidotrigla sp.",3.08333333333333
"Lepidotrigla spiloptera",3.33
"Lepidotrigla spinosa",3.45
"Lepidotrigla umbrosa",3.45
"Lepidotrigla vanessa",3.58
"Lepidotrigla vaubani",3.38
"Lepidotrigla venusta",3.45
"Lepidozygus tapeinosoma",3.4
"Lepilemur ankaranensis",2
"Lepilemur dorsalis",2
"Lepilemur edwardsi",2
"Lepilemur leucopus",2
"Lepilemur microdon",2
"Lepilemur mustelinus",2
"Lepilemur ruficaudatus",2
"Lepilemur septentrionalis",2
"Lepisosteus oculatus",4
"Lepisosteus osseus",3.58753731343284
"Lepisosteus platostomus",3.88
"Lepisosteus platyrhincus",3.72
"Lepomis auritus",2.95333333333333
"Lepomis cyanellus",3.49
"Lepomis gibbosus",2.89891064737124
"Lepomis gulosus",3.35
"Lepomis humilis",3.61
"Lepomis macrochirus",3.07652173913043
"Lepomis marginatus",3.27
"Lepomis megalotis",3.64
"Lepomis microlophus",3.47
"Lepomis miniatus",3.35
"Lepomis peltastes",3.29
"Lepomis punctatus",3.35
"Lepomis symmetricus",3.23
"Lepophidium aporrhox",3.55
"Lepophidium brevibarbe",3.63
"Lepophidium collettei",3.52
"Lepophidium crossotum",3.52
"Lepophidium cultratum",3.66
"Lepophidium entomelan",3.62
"Lepophidium gilmorei",3.53
"Lepophidium hubbsi",3.58
"Lepophidium inca",3.56
"Lepophidium jeannae",3.65
"Lepophidium kallion",3.52
"Lepophidium marmoratum",3.59
"Lepophidium microlepis",3.68
"Lepophidium negropinna",3.78
"Lepophidium pardale",3.61
"Lepophidium pheromystax",3.63
"Lepophidium profundorum",3.52
"Lepophidium prorates",3.65
"Lepophidium robustum",3.59
"Lepophidium staurophor",3.63
"Lepophidium stigmatistium",3.61
"Lepophidium wileyi",3.57
"Lepophidium zophochir",3.61
"Leporacanthicus galaxias",2
"Leporacanthicus heterodon",2.04
"Leporacanthicus joselimai",2.17
"Leporacanthicus triactis",2
"Leporellus cartledgei",2.29
"Leporellus pictus",2.29
"Leporellus retropinnis",2.29
"Leporellus vittatus",3.2
"Leporillus apicalis",2
"Leporillus conditor",2
"Leporinus acutidens",2.23
"Leporinus affinis",2.26
"Leporinus agassizii",2.27
"Leporinus alternus",2.33
"Leporinus amae",2.38
"Leporinus amazonicus",2.26
"Leporinus amblyrhynchus",2.23
"Leporinus apollo",2.43
"Leporinus arcus",2.18
"Leporinus arimaspi",2.33
"Leporinus aripuanaensis",2.53
"Leporinus badueli",2.49
"Leporinus bahiensis",2.33
"Leporinus bimaculatus",2.33
"Leporinus bistriatus",2.48
"Leporinus bleheri",2.41
"Leporinus boehlkei",2.38
"Leporinus britskii",2.33
"Leporinus brunneus",2.25
"Leporinus copelandii",2.1
"Leporinus cylindriformis",2.32
"Leporinus desmotes",2.34
"Leporinus ecuadorensis",2.31
"Leporinus falcipinnis",2.33
"Leporinus fasciatus",2.95
"Leporinus friderici",3.26
"Leporinus geminis",2.35
"Leporinus gomesi",2.38
"Leporinus gossei",2.26
"Leporinus granti",2.33
"Leporinus guttatus",2.45
"Leporinus holostictus",2.33
"Leporinus jamesi",2.39
"Leporinus jatuncochi",2.45
"Leporinus klausewitzi",2.33
"Leporinus lacustris",3.72
"Leporinus lebaili",2.33
"Leporinus leschenaulti",2.33
"Leporinus maculatus",3.5
"Leporinus marcgravii",2.46
"Leporinus melanopleura",2.33
"Leporinus melanopleurodes",2.44
"Leporinus melanostictus",2.22
"Leporinus microphthalmus",2.46
"Leporinus moralesi",2.26
"Leporinus multifasciatus",2.33
"Leporinus multimaculatus",2.48
"Leporinus nattereri",2.33
"Leporinus niceforoi",2.44
"Leporinus nigrotaeniatus",2.18
"Leporinus nijsseni",2.42
"Leporinus octofasciatus",2
"Leporinus octomaculatus",2.44
"Leporinus ortomaculatus",2.57
"Leporinus pachyurus",2.33
"Leporinus parae",2.28
"Leporinus paralternus",2.33
"Leporinus paranensis",2.38
"Leporinus parvulus",2.58
"Leporinus pearsoni",2.33
"Leporinus pellegrinii",2
"Leporinus piau",2.21
"Leporinus pitingai",2.19
"Leporinus platycephalus",2.33
"Leporinus punctatus",2.33
"Leporinus reticulatus",2.42
"Leporinus santosi",2.42
"Leporinus sexstriatus",2.57
"Leporinus spilopleura",2.24
"Leporinus steindachneri",2.17
"Leporinus steyermarki",2.26
"Leporinus striatus",2
"Leporinus subniger",2.33
"Leporinus taeniatus",2.38
"Leporinus taeniofasciatus",2.28
"Leporinus tigrinus",2.37
"Leporinus torrenticola",2.45
"Leporinus trimaculatus",2.28
"Leporinus uatumaensis",2.5
"Leporinus unitaeniatus",2.44
"Leporinus vanzoi",2.33
"Leporinus venerei",2.42
"Leporinus wolfei",2.26
"Leporinus y-ophorus",2.33
"Leposoma scincoides",3
"Leposternon microcephalum",3
"Leposternon polystegum",3
"Leposternon wuchereri",3
"Lepsiella albomarginata",3
"Leptacanthichthys gracilispinis",3.61
"Leptachirus alleni",3.31
"Leptachirus bensbach",3.36
"Leptachirus darwinensis",3.28
"Leptachirus kikori",3.28
"Leptachirus klunzingeri",3.29
"Leptachirus lorentz",3.3
"Leptachirus polylepis",3.25
"Leptachirus robertsi",3.28
"Leptachirus triramus",3.24
"Leptacinus sp. (juv)",3.73150005358151
"Leptagoniates steindachneri",3.18
"Leptagonus decagonus",3.095
"Leptailurus serval",3.5
"Leptasterias hexactis",3.38
"Leptasterias polaris",3.23
"Leptasthenura aegithaloides",3
"Leptasthenura andicola",3
"Leptasthenura fuliginiceps",3
"Leptasthenura pileata",3
"Leptasthenura platensis",3
"Leptasthenura setaria",3
"Leptasthenura striata",3
"Leptasthenura striolata",3
"Leptasthenura xenothorax",3
"Leptasthenura yanacensis",2.9
"Leptatherina presbyteroides",3.25
"Leptatherina wallacei",3.28
"Leptaulopus damasi",4.09
"Leptaulopus erythrozonatus",4.04
"Leptenchelys vermiformis",3.46
"Lepthoplosternum altamazonicum",2.96
"Lepthoplosternum beni",2.96
"Lepthoplosternum pectorale",2.96
"Lepthoplosternum stellatum",2.97
"Lepthoplosternum tordilho",2.97
"Lepthoplosternum ucamara",2.97
"Lepthyphantes tenuis",2.5
"Leptoancistrus canensis",2.52
"Leptoancistrus cordobensis",2.74
"Leptobarbus hoevenii",2.75999999046326
"Leptobarbus hosii",2.92
"Leptobarbus melanopterus",2.86
"Leptobarbus melanotaenia",2.82
"Leptobarbus rubripinna",2.82
"Leptobotia elongata",4.2
"Leptobotia flavolineata",3.22
"Leptobotia guilinensis",3.21
"Leptobotia hengyangensis",3.29
"Leptobotia micra",3.15
"Leptobotia microphthalma",3.23
"Leptobotia orientalis",3.21
"Leptobotia pellegrini",3.32
"Leptobotia posterodorsalis",3.29
"Leptobotia punctata",3.2
"Leptobotia rubrilabris",3.33
"Leptobotia taeniops",3.32
"Leptobotia tchangi",3.25
"Leptobotia tientainensis",3.25
"Leptobrachella mjobergi",3
"Leptobrachella parva",3
"Leptobrama muelleri",4.45
"Leptobrotula breviventralis",3.59
"Leptobrycon jatuaranae",3.16
"Leptocephalus bellottii",3.43
"Leptocephalus giganteus",3.41
"Leptocephalus ophichthoides",4.24
"Leptoceridae",2.5
"Leptocharacidium omospilus",3.51
"Leptocharias smithii",3.79
"Leptocheirus hirsutimanus",2
"Leptocheirus pectinatus",2
"Leptocheirus plumulosus",2.16666666666667
"Leptocheirus tricristatus",2
"Leptochilichthys agassizii",3.33
"Leptochilichthys microlepis",3.33
"Leptochilichthys pinguis",3.31
"Leptochiton algesirensis",2
"Leptochryseus kuwaitense",2
"Leptoclinides kingi",2
"Leptoclinus maculatus",3.14
"Leptocottus armatus",3.22235294117647
"Leptocypris crossensis",3.19
"Leptocypris guineensis",3.15
"Leptocypris konkoureensis",3.21
"Leptocypris lujae",3.19
"Leptocypris modestus",3.18
"Leptocypris niloticus",3.17
"Leptocypris taiaensis",3.21
"Leptocypris weeksii",3.14
"Leptocypris weynsii",3.17
"Leptodactylus albilabris",3
"Leptodactylus andreae",3
"Leptodactylus bufonius",3
"Leptodactylus chaquensis",3
"Leptodactylus didymus",3
"Leptodactylus discodactylus",3
"Leptodactylus gracilis",3
"Leptodactylus knudseni",3
"Leptodactylus labyrinthicus",3.25
"Leptodactylus laticeps",3.5
"Leptodactylus latinasus",3
"Leptodactylus latrans",3.25
"Leptodactylus leptodactyloides",3
"Leptodactylus lineatus",3
"Leptodactylus macrosternum",3
"Leptodactylus mystaceus",3
"Leptodactylus mystacinus",3
"Leptodactylus natalensis",3.25
"Leptodactylus pentadactylus",2.83333333333333
"Leptodactylus petersii",3
"Leptodactylus plaumanni",3
"Leptodactylus podicipinus",3
"Leptodactylus rhodomystax",3
"Leptodactylus rhodonotus",3
"Leptodactylus rugosus",3
"Leptodactylus savagei",3.25
"Leptodactylus spixi",3
"Leptodactylus stenodema",3
"Leptodactylus syphax",3.25
"Leptodactylus troglodytes",3
"Leptodactylus vastus",3.25
"Leptodactylus wagneri",3.25
"Leptoderma affinis",3.4
"Leptoderma lubricum",3.4
"Leptoderma macrophthalmum",3.35
"Leptoderma macrops",3.42
"Leptoderma retropinna",3.4
"Leptodiaptomus siciloides",2
"Leptodius sanguineus",3.73
"Leptodon cayanensis",3.4
"Leptodon forbesi",3.4
"Leptodora kindtii",2.9055595887894
"Leptodoras acipenserinus",2.78
"Leptodoras cataniai",2.79
"Leptodoras copei",2.81
"Leptodoras hasemani",2.79
"Leptodoras juruensis",2.75
"Leptodoras linnelli",2.77
"Leptodoras marki",2.85
"Leptodoras myersi",2.87
"Leptodoras nelsoni",2.8
"Leptodoras oyakawai",2.83
"Leptodoras praelongus",2.79
"Leptodoras rogersae",2.79
"Leptogamasus cf. tectegynellus",3.7032967032967
"Leptogamasus sp.",3.6875
"Leptogamasus sp. (juv)",3.59920058139535
"Leptogamasus suecicus",3.50271478119304
"Leptoglanis bouilloni",3.05
"Leptoglanis xenognathus",3.05
"Leptoichthys fistularius",3.58
"Leptojulis chrysotaenia",3.65
"Leptojulis cyanopleura",3.4
"Leptojulis lambdastigma",3.81
"Leptojulis polylepis",3.65
"Leptojulis urostigma",3.65
"Leptolalax aereus",3
"Leptolalax applebyi",3
"Leptolebias aureoguttatus",3.12
"Leptolebias citrinipinnis",3.16
"Leptolebias itanhaensis",3.05
"Leptolebias marmoratus",3.07
"Leptolebias opalescens",3.12
"Leptolebias splendens",3.07
"Leptolucania ommata",3.06
"Leptomelanosoma indicum",3.86
"Leptomys elegans",3.25
"Leptomys ernstmayri",3.25
"Leptomys signatus",3.25
"Leptonotus blainvilleanus",3.43
"Leptonotus elevatus",3.35
"Leptonotus norae",3.41
"Leptonychotes weddelli",3.93103448275862
"Leptonychotes weddellii",4.045
"Leptonycteris curasoae",2.2
"Leptonycteris nivalis",2.2
"Leptonycteris yerbabuenae",2.2
"Leptopecten sp.",2.5
"Leptopelis aubryi",3
"Leptopelis flavomaculatus",3
"Leptopelis parkeri",3
"Leptopelis rufus",3
"Leptopelis uluguruensis",3
"Leptopelis vermiculatus",3
"Leptophilypnus fluviatilis",3.23
"Leptophilypnus guatemalensis",3.13
"Leptophilypnus panamensis",3.21
"Leptoplana tremellaris",3.2
"Leptopoecile elegans",3
"Leptopoecile sophiae",2.8
"Leptopterus chabert",3.3
"Leptoptilos crumeniferus",2.8
"Leptoptilos dubius",3.15
"Leptoptilos javanicus",3.55
"Leptorhamdia essequibensis",3.56
"Leptorhamdia marmorata",3.51
"Leptorhamdia schultzi",3.43
"Leptoscarus vaigiensis",2
"Leptoscopus macropygus",3.4
"Leptosiaphos blochmanni",3
"Leptosiaphos graueri",3
"Leptosiaphos kilimensis",3
"Leptosiaphos meleagris",3
"Leptosittaca branickii",2
"Leptostichaeus pumilus",3.11
"Leptostomias analis",4.5
"Leptostomias bermudensis",4.19999980926514
"Leptostomias bilobatus",4.2
"Leptostomias gladiator",4.2
"Leptostomias gracilis",4.5
"Leptostomias haplocaulus",4.5
"Leptostomias leptobolus",4.2
"Leptostomias longibarba",4.5
"Leptostomias macronema",4.5
"Leptostomias macropogon",4.5
"Leptostomias multifilis",4.23
"Leptostomias robustus",4.5
"Leptostylus",2
"Leptosynanceia asteroblepa",3.95
"Leptosynapta chela",2
"Leptotila battyi",2.1
"Leptotila cassini",2.2
"Leptotila conoveri",2.1
"Leptotila jamaicensis",2.2
"Leptotila megalura",2.1
"Leptotila ochraceiventris",2
"Leptotila pallida",2.1
"Leptotila plumbeiceps",2.1
"Leptotila rufaxilla",2.1
"Leptotila verreauxi",2.2
"Leptotila wellsi",2
"Leptotocinclus ctenistus",2.41
"Leptotocinclus madeirae",2.41
"Lepturacanthus pantului",4.12
"Lepturacanthus roelandti",4.22
"Lepturacanthus savala",4.31
"Lepturichthys dolichopterus",2.88
"Lepturichthys fimbriata",2.88
"Leptusa sp.",3.63888888888889
"Lepus alleni",2
"Lepus americanus",2
"Lepus arcticus",2
"Lepus brachyurus",2
"Lepus californicus",2
"Lepus callotis",2
"Lepus capensis",2
"Lepus castroviejoi",2
"Lepus comus",2
"Lepus coreanus",2
"Lepus corsicanus",2
"Lepus europaeus",2
"Lepus fagani",2
"Lepus flavigularis",2
"Lepus granatensis",2
"Lepus habessinicus",2
"Lepus hainanus",2
"Lepus insularis",2
"Lepus mandshuricus",2
"Lepus microtis",2
