species,genus,id,tax_query_name,tax_query_id,family,order,class,phylum
Uncibilocularis sidocymba,Uncibilocularis,ott5134529,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis southwelli,Uncibilocularis,ott5134524,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis squireorum,Uncibilocularis,ott5134531,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis subhapradhai,Uncibilocularis,ott5134523,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis thapari,Uncibilocularis,ott5477953,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis trygonis,Uncibilocularis,ott5134527,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Uncibilocularis veravalensis,Uncibilocularis,ott5134530,Uncibilocularis ratanagiriensis,5134522,Onchobothriidae,Tetraphyllidea,Cestoda,Platyhelminthes
Unciunia falconis,Unciunia,ott5136373,Unciunia shindei,5136371,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Unciunia hypsipetis,Unciunia,ott5136372,Unciunia shindei,5136371,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Unciunia raymondi,Unciunia,ott5693940,Unciunia shindei,5136371,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Unciunia shindei,Unciunia,ott5136371,Unciunia shindei,5136371,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Unciunia sinensis,Unciunia,ott5136375,Unciunia shindei,5136371,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Unciunia trichocirrosa,Unciunia,ott5136374,Unciunia shindei,5136371,Dilepididae,Cyclophyllidea,Cestoda,Platyhelminthes
Urocystis prolifer,Urocystis,ott340196,Urocystis prolifer,340196,Hymenolepididae,Cyclophyllidea,Cestoda,Platyhelminthes
